"","created_on","l5","bedrooms","bathrooms","surface_total","surface_covered","price","property_type"
"18","2021-06-03","Lince",2,2,75,75,120000,"Departamento"
"38","2021-06-03","Santiago de Surco",4,3,180,230,315000,"Departamento"
"113","2021-06-17","San Juan de Miraflores",4,2,206,160,240000,"Casa"
"114","2021-06-17","Lurigancho",11,8,320,121,260000,"Casa"
"115","2021-06-17","San Juan de Miraflores",5,4,300,200,260000,"Casa"
"119","2021-06-17","Santiago de Surco",3,2,102,102,150000,"Departamento"
"120","2021-06-17","Santiago de Surco",2,2,110,110,228000,"Departamento"
"121","2021-06-17","Miraflores",3,2,110,110,165000,"Departamento"
"122","2021-06-17","Jesús María",3,2,90,95,145000,"Departamento"
"125","2021-06-17","Miraflores",2,2,103,103,228000,"Departamento"
"439","2021-07-24","San Miguel",12,6,411,411,460000,"Departamento"
"440","2021-07-24","Pachacamac",2,1,60,600,57000,"Departamento"
"441","2021-07-24","Surquillo",3,2,70,74,148000,"Departamento"
"442","2021-07-24","Miraflores",1,2,60,60,168000,"Departamento"
"602","2021-02-13","Barranco",3,2,76,76,135000,"Departamento"
"611","2021-02-13","San Martín de Porres",3,3,110,110,103000,"Departamento"
"1252","2021-06-18","Lince",2,2,92,92,173000,"Departamento"
"1253","2021-06-18","La Molina",5,4,320,580,800000,"Casa"
"1255","2021-06-18","Miraflores",3,4,100,100,220000,"Departamento"
"1257","2021-06-18","San Miguel",2,1,82,82,85000,"Departamento"
"1258","2021-06-18","Santiago de Surco",3,3,280,280,380000,"Departamento"
"1262","2021-06-18","San Juan de Miraflores",2,1,42,42,27500,"Departamento"
"1263","2021-06-18","San Juan de Miraflores",2,1,42,42,26000,"Departamento"
"1347","2021-02-27","Rímac",3,2,84,80,98000,"Departamento"
"1417","2021-02-27","Cieneguilla",4,8,1000,6512,2490000,"Departamento"
"1467","2021-07-10","Comas",3,1,57,57,45000,"Departamento"
"1469","2021-07-10","Miraflores",2,1,97,97,165000,"Departamento"
"1470","2021-07-10","Miraflores",3,2,109,109,235000,"Departamento"
"1472","2021-07-10","Rímac",3,2,140,140,130000,"Casa"
"1473","2021-07-10","San Isidro",5,3,376,652,1250000,"Casa"
"1475","2021-07-10","San Juan de Miraflores",4,3,150,150,120000,"Casa"
"1476","2021-07-10","Ate",6,5,590,173,400000,"Casa"
"1526","2021-07-23","Los Olivos",7,5,240,260,190000,"Casa"
"1528","2021-07-23","Miraflores",1,2,60,60,185000,"Departamento"
"1529","2021-07-23","San Miguel",2,2,60,60,95000,"Departamento"
"1530","2021-07-23","Surquillo",2,2,55,65,115000,"Departamento"
"1531","2021-07-23","Pueblo Libre",3,2,80,80,115000,"Departamento"
"1534","2021-07-23","Magdalena Del Mar",3,2,90,90,155000,"Departamento"
"1535","2021-07-23","Lince",3,3,90,90,250000,"Departamento"
"1536","2021-07-23","La Molina",5,7,462,394,1200000,"Casa"
"1692","2021-06-02","La Molina",3,2,138,138,170000,"Departamento"
"1735","2021-01-19","Miraflores",3,2,184,86,315000,"Casa"
"1763","2021-01-19","San Juan de Lurigancho",5,3,200,76,125000,"Casa"
"1766","2021-01-19","San Juan de Miraflores",4,2,206,160,240000,"Casa"
"2008","2021-01-19","San Borja",3,2,173,173,310000,"Departamento"
"2014","2021-01-19","Surquillo",2,2,50,50,135000,"Departamento"
"2020","2021-01-19","Los Olivos",3,2,117,234,118000,"Departamento"
"2028","2021-01-19","Miraflores",2,2,93,93,200000,"Departamento"
"2066","2021-01-19","San Miguel",3,2,76,76,129000,"Departamento"
"2089","2021-01-19","Magdalena Del Mar",3,3,106,106,180000,"Departamento"
"2107","2021-01-19","Santiago de Surco",3,4,232,236,510000,"Departamento"
"2112","2021-01-19","Santiago de Surco",3,3,164,219,400000,"Departamento"
"2332","2021-02-12","San Miguel",3,2,86,86,120000,"Departamento"
"2351","2021-02-12","Magdalena Del Mar",3,2,86,86,145000,"Departamento"
"2368","2021-02-12","Santiago de Surco",4,2,97,97,110000,"Departamento"
"2374","2021-02-12","San Juan de Lurigancho",4,4,165,50,170000,"Casa"
"2478","2021-06-16","San Martín de Porres",8,4,548,200,220000,"Casa"
"2486","2021-06-16","Santiago de Surco",3,3,185,267,240000,"Departamento"
"2487","2021-06-16","Santiago de Surco",3,3,180,90,220000,"Departamento"
"2488","2021-06-16","San Miguel",3,2,81,81,115000,"Departamento"
"2489","2021-06-16","Surquillo",3,2,96,96,170000,"Departamento"
"2490","2021-06-16","Chorrillos",3,2,85,97,135000,"Departamento"
"2821","2021-02-11","Lince",3,1,66,66,110000,"Departamento"
"2862","2021-02-11","Carabayllo",15,10,330,120,150000,"Casa"
"2905","2021-02-11","San Isidro",3,4,185,185,320000,"Departamento"
"2909","2021-02-11","San Miguel",3,2,100,136,115000,"Casa"
"2929","2021-02-11","Jesús María",2,2,77,76,130000,"Departamento"
"2931","2021-02-11","Jesús María",3,1,78,50,80000,"Departamento"
"2963","2021-02-11","Santiago de Surco",3,2,90,90,165000,"Departamento"
"2994","2021-02-11","Villa María del Triunfo",6,6,380,200,95000,"Casa"
"2995","2021-02-11","Villa María del Triunfo",6,6,380,200,95000,"Casa"
"3208","2021-02-26","San Isidro",3,1,101,101,178000,"Departamento"
"3214","2021-02-26","Lima Cercado",3,2,67,67,75000,"Departamento"
"3237","2021-02-26","Chaclacayo",4,5,400,1003,719000,"Casa"
"3536","2021-01-05","Miraflores",2,2,100,100,245000,"Departamento"
"3644","2021-01-05","San Borja",4,4,188,287,375000,"Departamento"
"3648","2021-01-05","San Isidro",4,4,375,223,1275000,"Casa"
"3680","2021-01-05","San Luis",10,9,866,380,850000,"Casa"
"4048","2021-01-18","Santiago de Surco",3,2,100,100,178000,"Departamento"
"4479","2020-10-30","Lince",2,1,89,89,110000,"Departamento"
"4483","2020-10-30","Surquillo",3,3,108,118,150000,"Departamento"
"4486","2020-10-30","Miraflores",5,5,361,361,850000,"Casa"
"4487","2020-10-30","Miraflores",1,1,72,72,165000,"Departamento"
"4492","2020-10-30","La Victoria",20,6,590,191,325000,"Casa"
"4494","2020-10-30","Magdalena Del Mar",4,4,180,180,385000,"Casa"
"4863","2020-10-30","Surquillo",3,2,69,69,110000,"Departamento"
"4878","2020-10-30","Rímac",3,4,120,120,140000,"Departamento"
"4879","2020-10-30","Rímac",3,4,120,120,136000,"Departamento"
"4882","2020-10-30","San Martín de Porres",3,1,120,120,50000,"Casa"
"4987","2021-03-31","Breña",1,1,35,35,57500,"Departamento"
"5009","2021-03-31","Surquillo",2,1,55,55,77000,"Departamento"
"5039","2021-03-31","Miraflores",2,3,96,96,190000,"Departamento"
"5233","2021-06-15","Chorrillos",3,1,59,59,60000,"Departamento"
"5255","2021-06-15","Comas",5,3,220,162,100000,"Casa"
"5275","2021-06-15","Miraflores",1,1,58,58,120000,"Departamento"
"5276","2021-06-15","Miraflores",1,1,58,58,120000,"Departamento"
"5278","2021-06-15","Miraflores",1,1,58,58,120000,"Departamento"
"5279","2021-06-15","Miraflores",1,1,58,58,120000,"Departamento"
"5280","2021-06-15","Miraflores",1,1,58,58,120000,"Departamento"
"5281","2021-06-15","Miraflores",1,1,58,58,120000,"Departamento"
"5284","2021-06-15","Miraflores",4,4,142,83,290000,"Casa"
"5285","2021-06-15","Santiago de Surco",3,3,149,149,275000,"Departamento"
"5300","2021-05-09","Santiago de Surco",2,2,182,252,359000,"Departamento"
"5534","2021-02-10","Ate",2,1,60,163,200000,"Casa"
"5572","2021-02-10","Miraflores",3,4,120,194,345000,"Departamento"
"5580","2021-02-10","San Isidro",4,5,365,390,850000,"Casa"
"5581","2021-02-10","San Isidro",7,6,399,282,920000,"Casa"
"5617","2021-02-10","Santiago de Surco",2,2,96,96,190000,"Departamento"
"5929","2021-07-22","La Molina",5,5,225,525,990000,"Casa"
"5930","2021-07-22","Surquillo",2,1,47,47,77550,"Departamento"
"5931","2021-07-22","Surquillo",2,1,47,47,77550,"Departamento"
"5933","2021-07-22","Surquillo",2,2,64,64,108358,"Departamento"
"5934","2021-07-22","Santiago de Surco",3,2,76,76,115000,"Departamento"
"5935","2021-07-22","Miraflores",2,1,80,80,125000,"Departamento"
"5936","2021-07-22","Carabayllo",3,2,82,82,140000,"Departamento"
"5937","2021-07-22","San Juan de Miraflores",3,2,117,117,120000,"Departamento"
"5938","2021-07-22","San Isidro",2,2,129,129,545000,"Departamento"
"5939","2021-07-22","Ate",3,3,90,140,149125,"Departamento"
"5942","2021-07-22","Ate",3,2,80,161,152479,"Departamento"
"5944","2021-07-22","Santiago de Surco",4,3,150,175,250000,"Departamento"
"5945","2021-07-22","San Isidro",4,3,249,220,585000,"Casa"
"5946","2021-07-22","San Isidro",4,4,245,245,1050000,"Departamento"
"5947","2021-07-22","San Isidro",3,3,188,246,430000,"Departamento"
"6181","2021-01-04","Lima Cercado",2,2,52,52,81000,"Departamento"
"6198","2021-01-04","Santiago de Surco",3,2,114,114,185000,"Departamento"
"6200","2021-01-04","Santiago de Surco",3,2,75,75,105000,"Departamento"
"6317","2021-01-04","Cieneguilla",14,7,293,3000,890000,"Casa"
"6399","2021-06-14","Santiago de Surco",3,2,76,76,90000,"Departamento"
"6630","2020-08-30","Lima Cercado",1,1,51,51,55000,"Departamento"
"6646","2020-08-30","Lurigancho",3,2,103,108,100000,"Departamento"
"6647","2020-08-30","Miraflores",3,3,104,104,320000,"Departamento"
"6656","2020-08-30","Lurigancho",5,4,350,231,380000,"Casa"
"6660","2020-08-30","Santa Anita",6,5,348,120,287000,"Casa"
"6661","2020-08-30","Santiago de Surco",6,4,320,264,540000,"Casa"
"6732","2021-02-25","Santiago de Surco",3,4,158,158,360000,"Casa"
"6958","2021-02-25","San Borja",3,4,246,224,355000,"Departamento"
"7084","2021-02-25","Santiago de Surco",4,2,119,119,165000,"Departamento"
"7086","2021-02-25","Santiago de Surco",2,2,71,71,115000,"Departamento"
"7087","2021-02-25","Santiago de Surco",2,2,71,71,115000,"Departamento"
"7088","2021-02-25","Santiago de Surco",2,2,64,64,108000,"Departamento"
"7089","2021-02-25","Santiago de Surco",0,2,71,71,115000,"Departamento"
"7090","2021-02-25","Santiago de Surco",2,2,71,71,115000,"Departamento"
"7091","2021-02-25","Santiago de Surco",2,2,64,64,108000,"Departamento"
"7092","2021-02-25","Santiago de Surco",2,2,64,64,108000,"Departamento"
"7093","2021-02-25","Santiago de Surco",2,2,71,71,115000,"Departamento"
"7094","2021-02-25","Santiago de Surco",2,2,64,64,108000,"Departamento"
"7097","2021-02-25","Santiago de Surco",3,3,130,130,208224,"Departamento"
"7098","2021-02-25","Santiago de Surco",3,3,127,127,203712,"Departamento"
"7099","2021-02-25","Santiago de Surco",3,3,190,190,249000,"Departamento"
"7219","2021-06-28","Miraflores",2,3,80,80,188000,"Departamento"
"7220","2021-06-28","San Miguel",3,1,79,82,120000,"Departamento"
"7223","2021-06-28","Lima Cercado",3,2,95,116,125000,"Departamento"
"7230","2021-06-28","Breña",3,1,120,240,135000,"Departamento"
"7591","2021-05-07","Comas",8,7,250,168,245000,"Casa"
"7597","2021-05-07","Miraflores",3,2,135,135,250000,"Departamento"
"7599","2021-05-07","Miraflores",3,4,140,201,420000,"Departamento"
"7602","2021-05-07","Jesús María",2,2,62,62,115000,"Departamento"
"7604","2021-05-07","Santiago de Surco",4,4,148,248,350000,"Departamento"
"7630","2021-03-30","Carabayllo",4,4,232,180,170000,"Casa"
"7639","2021-03-30","Lima Cercado",7,5,200,58,230000,"Casa"
"7807","2021-03-30","Surquillo",3,3,160,160,235000,"Departamento"
"7812","2021-03-30","Chaclacayo",1,1,45,45,34000,"Departamento"
"7837","2021-03-30","Miraflores",3,2,150,150,300000,"Departamento"
"7842","2021-03-30","Miraflores",3,3,184,184,455000,"Departamento"
"7843","2021-03-30","Miraflores",3,3,143,143,357500,"Departamento"
"7854","2021-03-30","Miraflores",3,4,300,300,680000,"Departamento"
"7891","2021-03-30","Santiago de Surco",2,1,74,74,120000,"Departamento"
"7992","2021-01-03","Magdalena Del Mar",3,3,99,99,190000,"Departamento"
"8091","2021-06-12","El Agustino",4,2,230,175,85000,"Casa"
"8092","2021-06-12","Magdalena Del Mar",3,2,83,83,87000,"Departamento"
"8435","2021-07-20","Lurín",3,4,200,5000,750000,"Casa"
"8437","2021-07-20","Chorrillos",2,2,73,73,88100,"Departamento"
"8438","2021-07-20","Miraflores",3,2,160,160,379999,"Departamento"
"8441","2021-07-20","Magdalena Del Mar",3,2,75,75,133000,"Departamento"
"8442","2021-07-20","Santiago de Surco",3,4,165,220,330000,"Departamento"
"8533","2021-02-22","San Borja",3,3,103,103,310000,"Departamento"
"8678","2021-06-13","San Isidro",3,3,120,120,145000,"Departamento"
"8679","2021-06-13","San Martín de Porres",3,1,92,92,72000,"Departamento"
"8680","2021-06-13","Miraflores",3,3,110,110,250000,"Departamento"
"8681","2021-06-13","Miraflores",1,3,93,93,265000,"Departamento"
"8712","2021-07-21","La Molina",3,3,149,149,185000,"Departamento"
"8836","2021-02-21","San Borja",3,1,84,84,155000,"Departamento"
"8840","2021-02-21","San Isidro",2,1,79,76,109400,"Departamento"
"8967","2021-06-26","Lince",3,1,75,75,125000,"Departamento"
"8970","2021-06-26","San Luis",0,2,70,70,117000,"Departamento"
"8977","2021-06-26","San Borja",9,9,780,300,828000,"Casa"
"8992","2021-06-26","Pueblo Libre",3,2,90,90,160000,"Departamento"
"8998","2021-06-26","Santiago de Surco",3,4,120,146,300000,"Departamento"
"9002","2021-06-26","San Juan de Lurigancho",3,2,100,200,500000,"Casa"
"9017","2021-01-01","Miraflores",3,2,206,102,309000,"Departamento"
"9018","2021-01-01","Magdalena Del Mar",3,3,73,73,120000,"Departamento"
"9201","2020-10-22","Ate",3,2,81,81,85000,"Departamento"
"9254","2020-10-22","San Borja",4,4,215,215,360000,"Departamento"
"9255","2020-10-22","San Borja",2,2,109,109,180000,"Departamento"
"9264","2020-10-22","Surquillo",3,3,85,85,168000,"Departamento"
"9287","2020-10-22","Miraflores",3,3,201,132,510000,"Departamento"
"9343","2020-10-22","San Miguel",2,2,69,69,100000,"Departamento"
"9377","2020-10-22","Puente Piedra",3,2,58,58,49000,"Departamento"
"9403","2020-10-22","Santiago de Surco",3,3,177,177,246500,"Departamento"
"9408","2020-10-22","Santiago de Surco",3,3,145,154,280000,"Departamento"
"9415","2020-10-22","Santiago de Surco",1,1,79,79,225000,"Departamento"
"9417","2020-10-22","Santiago de Surco",2,2,79,79,225000,"Departamento"
"9424","2020-10-22","Santiago de Surco",3,3,134,134,240000,"Departamento"
"9425","2020-10-22","Santiago de Surco",3,3,134,134,240000,"Departamento"
"9429","2020-10-22","Santiago de Surco",3,3,152,152,350000,"Departamento"
"9430","2020-10-22","Santiago de Surco",3,3,152,152,350000,"Departamento"
"9433","2020-10-22","Santiago de Surco",3,2,74,74,85000,"Departamento"
"9434","2020-10-22","Santiago de Surco",3,2,74,74,85000,"Departamento"
"9460","2020-10-22","San Juan de Miraflores",3,1,70,70,80000,"Departamento"
"9462","2020-10-22","San Juan de Miraflores",2,1,64,64,75000,"Departamento"
"9463","2020-10-22","San Juan de Miraflores",0,1,70,70,80000,"Departamento"
"9464","2020-10-22","San Juan de Miraflores",2,1,64,64,75000,"Departamento"
"9701","2021-01-15","La Molina",3,3,122,122,145000,"Departamento"
"9725","2021-01-15","San Isidro",4,4,148,148,325000,"Departamento"
"9728","2021-01-15","Santiago de Surco",4,5,658,1101,1580000,"Casa"
"9733","2021-01-15","San Juan de Miraflores",5,5,214,160,257000,"Casa"
"9734","2021-01-15","San Isidro",8,4,461,485,1250000,"Casa"
"9817","2021-01-29","Pucusana",9,2,340,170,70000,"Casa"
"9833","2021-01-29","Surquillo",2,2,60,60,99000,"Departamento"
"9844","2021-01-29","Carabayllo",1,1,40,40,155000,"Departamento"
"9869","2021-01-29","Los Olivos",2,2,77,77,61500,"Departamento"
"9870","2021-01-29","Los Olivos",2,2,77,77,64500,"Departamento"
"9871","2021-01-29","Los Olivos",2,2,77,77,67500,"Departamento"
"9872","2021-01-29","Los Olivos",2,2,77,77,64500,"Departamento"
"9873","2021-01-29","Los Olivos",2,2,77,77,61500,"Departamento"
"9904","2021-01-29","El Agustino",4,3,77,77,75000,"Departamento"
"9914","2021-01-29","Santa Anita",2,2,77,77,67500,"Departamento"
"9952","2021-01-29","Santiago de Surco",3,2,74,74,102400,"Departamento"
"9956","2021-01-29","Santiago de Surco",2,2,73,73,98400,"Departamento"
"9957","2021-01-29","Santiago de Surco",2,2,75,75,100800,"Departamento"
"9958","2021-01-29","Santiago de Surco",1,1,40,40,155000,"Departamento"
"9959","2021-01-29","Santiago de Surco",2,2,69,69,98900,"Departamento"
"9974","2021-01-29","San Juan de Miraflores",0,1,70,70,70000,"Departamento"
"9975","2021-01-29","San Juan de Miraflores",2,1,64,64,65000,"Departamento"
"9977","2021-01-29","San Juan de Miraflores",3,1,70,70,70000,"Departamento"
"10134","2021-06-27","Santiago de Surco",2,1,73,73,85000,"Departamento"
"10135","2021-06-27","Villa el Salvador",8,9,320,100,88000,"Casa"
"10320","2020-10-20","Chorrillos",0,3,220,328,193500,"Departamento"
"10345","2020-10-20","San Isidro",1,1,45,60,138351,"Departamento"
"10358","2020-10-20","Carabayllo",2,2,84,84,65000,"Departamento"
"10359","2020-10-20","Carabayllo",2,2,84,84,65000,"Departamento"
"10361","2020-10-20","San Isidro",2,2,70,70,211410,"Departamento"
"10363","2020-10-20","La Victoria",2,1,63,63,75000,"Departamento"
"10366","2020-10-20","Magdalena Del Mar",2,1,50,50,83000,"Departamento"
"10368","2020-10-20","Santiago de Surco",2,2,126,126,230000,"Departamento"
"10369","2020-10-20","Santiago de Surco",2,2,110,110,200000,"Departamento"
"10370","2020-10-20","San Martín de Porres",2,1,75,75,48000,"Departamento"
"10397","2020-10-20","La Molina",3,3,133,2000,204000,"Departamento"
"10398","2020-10-20","San Borja",3,3,90,90,249000,"Departamento"
"10399","2020-10-20","San Borja",3,3,90,90,249000,"Departamento"
"10400","2020-10-20","San Borja",3,3,90,90,224000,"Departamento"
"10401","2020-10-20","San Borja",3,3,189,189,403275,"Departamento"
"10402","2020-10-20","San Borja",3,3,90,90,224000,"Departamento"
"10403","2020-10-20","San Borja",3,3,137,189,383275,"Departamento"
"10404","2020-10-20","Surquillo",3,3,150,194,360000,"Casa"
"10409","2020-10-20","Chaclacayo",3,2,72,72,60000,"Casa"
"10411","2020-10-20","Lurigancho",3,1,105,120,70000,"Casa"
"10412","2020-10-20","Lurigancho",3,1,105,120,70000,"Casa"
"10423","2020-10-20","Magdalena Del Mar",3,4,126,126,275000,"Departamento"
"10424","2020-10-20","Santiago de Surco",3,3,120,120,205000,"Departamento"
"10427","2020-10-20","Villa el Salvador",3,1,170,200,125000,"Casa"
"10428","2020-10-20","San Juan de Lurigancho",3,4,107,107,105000,"Departamento"
"10446","2020-10-20","Chorrillos",4,3,220,328,193500,"Departamento"
"10447","2020-10-20","Jesús María",4,4,163,163,170000,"Departamento"
"10448","2020-10-20","Santiago de Surco",4,2,97,97,110000,"Departamento"
"10454","2020-10-20","San Borja",5,3,118,233,280000,"Departamento"
"10455","2020-10-20","Lurigancho",5,10,1221,5201,2800000,"Casa"
"10465","2020-10-20","San Juan de Lurigancho",11,4,240,50,178000,"Casa"
"10513","2021-05-08","Chorrillos",4,3,132,66,120000,"Casa"
"10616","2021-01-16","Los Olivos",2,2,68,68,57750,"Departamento"
"10657","2021-01-16","Santiago de Surco",4,5,300,670,1100000,"Casa"
"11419","2021-02-23","Santa Anita",2,1,52,166,120000,"Departamento"
"11441","2021-02-23","Ate",3,2,110,100,110000,"Departamento"
"11450","2021-02-23","Surquillo",3,2,79,79,130000,"Departamento"
"11510","2021-02-23","San Juan de Lurigancho",3,1,114,155,135000,"Departamento"
"11546","2021-02-23","Santiago de Surco",6,6,1000,504,1000000,"Casa"
"11642","2021-06-11","Surquillo",2,2,48,48,98000,"Departamento"
"11646","2021-06-11","San Miguel",3,3,90,90,140000,"Departamento"
"11647","2021-06-11","Santiago de Surco",3,2,160,160,330000,"Departamento"
"11648","2021-06-11","Chorrillos",3,2,120,120,95000,"Departamento"
"11650","2021-06-11","Santiago de Surco",3,2,120,120,215000,"Departamento"
"11652","2021-06-11","Surquillo",3,2,70,70,125000,"Departamento"
"11657","2021-06-11","San Juan de Miraflores",4,3,206,160,240000,"Casa"
"11658","2021-06-11","Santiago de Surco",4,3,478,239,68000,"Departamento"
"11659","2021-06-11","Santiago de Surco",6,5,225,225,500000,"Casa"
"11809","2020-12-08","Los Olivos",0,2,96,96,70000,"Departamento"
"11828","2020-12-08","Miraflores",2,2,106,106,275000,"Departamento"
"11831","2020-12-08","Jesús María",2,2,50,50,92000,"Departamento"
"11850","2020-12-08","Comas",3,2,120,120,100000,"Departamento"
"11851","2020-12-08","Lince",3,2,74,74,200000,"Departamento"
"11855","2020-12-08","La Molina",3,3,200,437,520000,"Casa"
"11857","2020-12-08","Los Olivos",3,2,96,96,75000,"Departamento"
"11884","2020-12-08","Lima Cercado",5,3,220,262,350000,"Casa"
"11888","2020-12-08","La Molina",7,5,359,175,430000,"Casa"
"11949","2021-02-20","Lurín",8,4,202,202,83000,"Casa"
"11953","2021-02-20","La Molina",3,4,350,537,1000000,"Casa"
"11964","2021-02-20","Los Olivos",3,2,126,126,120000,"Departamento"
"11973","2021-02-20","Miraflores",2,2,85,85,165000,"Departamento"
"11981","2021-02-20","Pueblo Libre",3,2,92,92,160000,"Departamento"
"11982","2021-02-20","Pueblo Libre",3,2,92,92,160000,"Departamento"
"11983","2021-02-20","Puente Piedra",6,2,200,100,130000,"Casa"
"11987","2021-02-20","Magdalena Del Mar",3,2,111,111,215000,"Departamento"
"12026","2021-02-20","San Juan de Lurigancho",6,4,90,90,159000,"Casa"
"12401","2021-01-28","Los Olivos",2,2,77,77,58000,"Departamento"
"12446","2021-01-28","Lima Cercado",4,1,122,122,125000,"Departamento"
"12466","2021-01-28","Jesús María",2,2,83,83,143000,"Departamento"
"12541","2021-01-28","San Juan de Miraflores",2,1,47,47,98000,"Departamento"
"12542","2021-01-28","San Juan de Miraflores",2,1,68,68,80700,"Departamento"
"12688","2020-08-21","Miraflores",1,1,60,60,115000,"Departamento"
"12693","2020-08-21","Santiago de Surco",2,1,65,65,85000,"Departamento"
"12694","2020-08-21","Santiago de Surco",2,1,65,65,85000,"Departamento"
"12695","2020-08-21","Jesús María",2,2,85,85,185000,"Departamento"
"12696","2020-08-21","Ate",2,2,53,53,85000,"Departamento"
"12697","2020-08-21","Jesús María",2,2,85,85,185000,"Departamento"
"12698","2020-08-21","Pueblo Libre",2,2,66,66,115000,"Departamento"
"12699","2020-08-21","Pueblo Libre",2,2,54,54,120000,"Departamento"
"12703","2020-08-21","Villa el Salvador",3,2,100,140,110000,"Casa"
"12706","2020-08-21","San Isidro",3,2,96,96,159000,"Departamento"
"12707","2020-08-21","Miraflores",3,4,127,127,280000,"Departamento"
"12710","2020-08-21","Santiago de Surco",3,2,74,74,115000,"Departamento"
"12711","2020-08-21","Miraflores",3,4,122,183,450000,"Departamento"
"12712","2020-08-21","Lurín",3,2,59,59,65000,"Departamento"
"12713","2020-08-21","Chorrillos",3,2,86,86,120000,"Departamento"
"12714","2020-08-21","La Molina",3,3,103,103,175000,"Departamento"
"12716","2020-08-21","Magdalena Del Mar",3,2,80,80,170000,"Departamento"
"12718","2020-08-21","La Molina",3,3,103,103,175000,"Departamento"
"12720","2020-08-21","Santiago de Surco",3,2,135,177,239724,"Departamento"
"12721","2020-08-21","San Borja",3,3,150,150,296000,"Departamento"
"12722","2020-08-21","Magdalena Del Mar",3,2,73,73,115000,"Departamento"
"12726","2020-08-21","San Martín de Porres",5,3,270,100,196000,"Casa"
"12727","2020-08-21","La Molina",5,4,627,219,635000,"Casa"
"12728","2020-08-21","San Juan de Lurigancho",5,4,230,115,200000,"Casa"
"12732","2020-08-21","Surquillo",6,3,130,70,280000,"Departamento"
"12733","2020-08-21","Los Olivos",8,4,89,90,270000,"Casa"
"12735","2020-08-21","Villa María del Triunfo",13,5,500,488,175000,"Casa"
"13112","2021-05-06","Santiago de Surco",3,3,304,327,610000,"Departamento"
"13170","2021-05-06","San Miguel",4,5,348,351,545000,"Casa"
"13208","2021-05-06","Miraflores",10,10,222,222,780000,"Casa"
"13238","2021-01-12","Comas",0,3,349,180,165000,"Casa"
"13255","2021-01-12","Carabayllo",6,6,270,90,140000,"Casa"
"13257","2021-01-12","Carabayllo",4,4,240,177,110000,"Casa"
"13258","2021-01-12","Carabayllo",3,3,130,78,70000,"Casa"
"13435","2021-01-12","Villa María del Triunfo",3,2,93,93,151000,"Departamento"
"13436","2021-01-12","Punta Hermosa",4,2,139,154,175000,"Departamento"
"13495","2021-01-12","Ate",3,2,60,60,50000,"Departamento"
"13523","2021-01-12","Chorrillos",3,1,110,110,120000,"Departamento"
"13572","2021-01-12","San Miguel",2,2,74,74,115000,"Departamento"
"13584","2021-01-12","La Victoria",3,1,81,81,70000,"Departamento"
"13593","2021-01-12","Pueblo Libre",2,1,50,50,100000,"Departamento"
"13628","2021-01-12","Santiago de Surco",4,4,372,420,695000,"Departamento"
"13661","2021-05-05","Lima Cercado",1,1,55,55,97000,"Departamento"
"13688","2021-05-05","San Juan de Miraflores",4,3,156,90,175000,"Casa"
"13693","2021-05-05","Santiago de Surco",4,6,280,360,630000,"Departamento"
"13698","2021-05-05","Santiago de Surco",17,8,280,280,1000000,"Casa"
"13994","2021-07-31","La Molina",2,2,66,66,99000,"Departamento"
"14002","2021-07-31","Santiago de Surco",4,5,320,375,750000,"Casa"
"14009","2021-07-31","Santiago de Surco",3,2,77,77,120000,"Departamento"
"14258","2021-08-11","Comas",8,7,250,168,245000,"Casa"
"14284","2021-08-11","San Isidro",5,4,220,100,230000,"Casa"
"14295","2021-08-11","San Miguel",9,8,307,362,395000,"Casa"
"14308","2021-08-11","Santiago de Surco",5,5,375,275,498000,"Casa"
"14309","2021-08-11","Santiago de Surco",5,5,326,198,390000,"Casa"
"14314","2021-08-11","Santiago de Surco",3,3,110,110,205000,"Departamento"
"14503","2020-10-21","Ate",3,2,107,107,132000,"Departamento"
"14525","2020-10-21","Rímac",3,2,70,70,65000,"Departamento"
"14529","2020-10-21","Barranco",3,3,127,127,290000,"Departamento"
"14539","2020-10-21","La Molina",3,3,190,70,240000,"Casa"
"14551","2020-10-21","San Borja",3,2,95,95,150000,"Departamento"
"14552","2020-10-21","San Borja",3,2,113,180,245000,"Departamento"
"14553","2020-10-21","San Borja",3,5,282,141,450000,"Departamento"
"14576","2020-10-21","Chorrillos",3,2,84,84,112000,"Departamento"
"14661","2020-10-21","Lima Cercado",3,1,76,76,65000,"Departamento"
"14732","2020-10-21","Santiago de Surco",3,4,124,155,265000,"Departamento"
"14739","2020-10-21","Santiago de Surco",3,3,160,160,235000,"Departamento"
"14740","2020-10-21","Santiago de Surco",3,3,215,215,286500,"Departamento"
"14751","2020-10-21","Santiago de Surco",3,3,125,140,250000,"Departamento"
"14752","2020-10-21","Santiago de Surco",3,3,125,140,250000,"Departamento"
"14763","2020-10-21","San Martín de Porres",3,2,79,79,72000,"Departamento"
"14764","2020-10-21","San Martín de Porres",3,2,65,65,75000,"Departamento"
"14769","2020-10-21","San Martín de Porres",3,2,60,60,58000,"Departamento"
"14770","2020-10-21","San Martín de Porres",3,2,60,60,58000,"Departamento"
"15591","2021-05-04","Carabayllo",3,1,103,103,32000,"Casa"
"15611","2021-05-04","Santiago de Surco",1,2,65,65,130000,"Departamento"
"15617","2021-05-04","Santiago de Surco",3,3,128,128,250000,"Departamento"
"15618","2021-05-04","Miraflores",4,4,255,255,673000,"Departamento"
"15726","2021-07-19","Santiago de Surco",5,6,496,450,900000,"Casa"
